Punto de Ingreso	Número de Análisis	NUMERO_ANALISIS	Fecha de Análisis	Número de Boletín	Campo	Lote	Descripcion	Especie	Cosecha	Descripción	Contenido Proteico	Grado	Factor	Gastos de Análisis	Gluten	Punto de Ingreso	Número de Análisis	Rubro de Análisis	Porcentaje	Bonificación	Rebaja	Descripción
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	26				Granos con Carbón
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	29	0,4			Granos Danados
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	37				Granos Panza Blanca
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	40				Granos Picados
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	42	0,3			Granos Quebrados y/o Chuzos
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	52	0,2			Materias Extranas
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	58				Olores Comercialmente Objetables
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	60				Otro Tipo
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	61	80,35			Peso Hectolítrico
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	65	9,7		2,9	Proteína
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	66				Punta Negra por Carbón
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	67				Punta Sombreada por Tierra
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	70				Revolcado en Tierra
